team,fifa_sum_rating,fifa_sum_matches
Spain,1611.5829708997296,438
Argentina,1592.6743230637414,466
France,1583.8154654672553,448
England,1508.1000795523257,428
Brazil,1507.5830614769427,529
Germany,1478.3281811452373,480
Netherlands,1475.2851234435775,422
Portugal,1460.6863648516642,411
Japan,1449.79163743567,523
Morocco,1447.6084652718819,402
Mexico,1422.0274830600924,655
Colombia,1421.8928376085078,449
Belgium,1420.5958905533234,372
Iran,1410.0282890142366,451
Italy,1405.3772329362127,431
Senegal,1399.3179195149041,415
Croatia,1394.4802330341001,376
Uruguay,1379.7804789176744,422
South Korea,1378.181679088622,553
United States,1367.8599334539645,617
Australia,1358.1852936342425,381
Switzerland,1349.765568756604,380
Ecuador,1336.0069322222973,408
Algeria,1322.9577044867362,391
Egypt,1317.120587251256,509
Nigeria,1312.5219382424164,415
Uzbekistan,1306.6558559370187,352
Turkey,1301.9409887396662,395
Denmark,1300.2265598263325,390
Ivory Coast,1298.0015911071555,411
Russia,1275.090969033616,386
Panama,1270.53078710894,400
Canada,1265.4273628985586,329
Ukraine,1255.4829527699262,334
Iraq,1254.5587685861105,431
Austria,1248.283225873313,341
Norway,1238.6279745777838,392
Costa Rica,1238.1816641913358,513
Cameroon,1228.2183133503875,429
Tunisia,1223.6360892847426,452
Sweden,1222.7929486906655,458
Poland,1216.2399801947213,444
Paraguay,1215.3614431965646,395
Jordan,1214.6380650908918,426
Saudi Arabia,1209.0117270665833,575
Qatar,1208.1337814122764,500
New Zealand,1200.2856414090534,232
Serbia,1200.011193150675,346
Czech Republic,1191.8730596065122,359
Wales,1190.9055843798055,307
Scotland,1190.5959835527815,331
Mali,1185.6765537792828,384
Hungary,1184.6114550154055,372
DR Congo,1184.1056153591444,340
Jersey,1183.614419656953,122
Greece,1180.2486110241523,378
Chile,1179.3831370753082,422
South Africa,1178.7741719154324,453
United Arab Emirates,1177.2305718286511,488
Venezuela,1167.4658405538335,365
Peru,1165.5949268914142,387
Burkina Faso,1143.3105079346133,371
Republic of Ireland,1142.6539278039638,378
Slovakia,1137.2708286479142,351
Jamaica,1137.0358455551934,510
Oman,1134.8901035610086,475
Guernsey,1132.583877495161,113
Slovenia,1128.824130459139,315
Ghana,1122.0971709101905,418
Honduras,1117.5232905247537,466
Romania,1115.3541103421494,393
Cape Verde,1113.9087095914701,199
Haiti,1099.4531592641595,297
Guatemala,1096.9283244339226,362
Basque Country,1094.1688886659006,34
Bahrain,1090.7392283493432,462
Padania,1089.7211410988211,45
Yugoslavia,1082.9754890520667,22
China PR,1082.663950880556,442
Syria,1081.3108527116253,370
Isle of Man,1072.7977558616683,58
Thailand,1071.1468258005116,456
Ynys Môn,1070.2235690503283,63
Northern Cyprus,1068.0379315376886,31
Réunion,1063.3417806178677,58
Catalonia,1061.4388780138443,25
Bosnia and Herzegovina,1057.3729455871778,282
Czechoslovakia,1056.6653931504152,40
Kosovo,1056.3028177453432,103
Isle of Wight,1052.709396304385,48
Occitania,1052.0740048931043,33
Angola,1048.5330747821656,348
Abkhazia,1045.9243843994707,33
Andalusia,1039.6594470642892,12
Guinea,1038.123885478064,305
Gabon,1037.4475286697411,313
Albania,1037.070048981672,309
Iraqi Kurdistan,1035.107220290195,27
Kernow,1032.9136244379097,9
Zambia,1030.5322522710255,509
Rhodes,1028.8560995380803,18
Uganda,1026.4129967576282,405
Trinidad and Tobago,1025.6324686070736,460
New Caledonia,1024.5793945097462,152
Palestine,1024.4982554149042,222
Finland,1023.4664272596353,395
Ellan Vannin,1023.4300289217917,22
Georgia,1023.3767306403628,304
Israel,1021.0959959820786,307
County of Nice,1021.0697702090447,9
Kárpátalja,1021.0663616973387,11
Suriname,1020.888161913811,189
Yorkshire,1019.6791280530026,7
German DR,1019.1544169657765,7
