team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,win_rate,draw_rate,loss_rate,unbeaten_rate,goals_per_match,goals_against_per_match,goal_difference_per_match,points_per_match,form5,form10,form20,weighted_form,weighted_recent_points,attack_5,defense_5,attack_10,defense_10,attack_20,defense_20,goal_diff_10,goal_diff_20,recent_goal_trend,avg_goal_margin,clean_sheet_pct,failed_to_score_pct,neutral_matches,neutral_points_per_match,neutral_win_rate,group,fifa_sum_rating,elo_rating,team_encoded,group_encoded,elo_rank,fifa_sum_rank,attack_defense_balance,elo_adjusted_form,fifa_adjusted_form,team_strength_score
Algeria,47,32,11,4,104.0,34.0,70.0,0.6808510638297872,0.23404255319148937,0.0851063829787234,0.9148936170212766,2.2127659574468086,0.723404255319149,1.4893617021276595,2.276595744680851,10,23,46,22.747368421052634,2.2747368421052636,2.2,0.6,2.3,0.5,2.15,0.6,1.8,1.55,0.050000000000000266,1.4893617021276595,0.46808510638297873,0.14893617021276595,20,2.0,0.55,J,1322.9577044867362,1726.0,0,9,29.0,23.0,1.7999999999999998,18.08473417537395,18.67344521059863,0.7450806455928971
Argentina,48,35,6,7,101.0,31.0,70.0,0.7291666666666666,0.125,0.14583333333333334,0.8541666666666666,2.1041666666666665,0.6458333333333334,1.4583333333333333,2.3125,15,25,45,23.205263157894734,2.3205263157894733,3.2,0.2,2.5,0.4,2.15,0.5,2.1,1.65,1.0500000000000003,1.4583333333333333,0.6041666666666666,0.0625,24,2.2916666666666665,0.7083333333333334,J,1592.6743230637414,2113.0,1,9,2.0,2.0,2.1,22.58531600766079,22.93299659953746,0.9313672874388192
Australia,44,24,7,13,75.0,38.0,37.0,0.5454545454545454,0.1590909090909091,0.29545454545454547,0.7045454545454546,1.7045454545454546,0.8636363636363636,0.8409090909090909,1.7954545454545454,6,18,37,18.27894736842105,1.827894736842105,1.2,1.2,1.4,1.0,1.65,0.8,0.4,0.85,-0.44999999999999996,0.8409090909090909,0.45454545454545453,0.20454545454545456,20,1.35,0.4,D,1358.1852936342425,1774.0,2,3,25.0,20.0,0.3999999999999999,14.9363669422289,15.404852214989344,0.5620707888625989
Austria,36,23,7,6,81.0,30.0,51.0,0.6388888888888888,0.19444444444444445,0.16666666666666666,0.8333333333333334,2.25,0.8333333333333334,1.4166666666666667,2.111111111111111,10,25,40,20.799999999999997,2.0799999999999996,1.8,0.6,2.8,0.5,2.35,0.85,2.3,1.5,-0.55,1.4166666666666667,0.3333333333333333,0.08333333333333333,4,1.5,0.5,J,1248.283225873313,1818.0,3,9,21.0,31.0,2.3,17.417964071856282,16.111048309023346,0.6833071083503569
Belgium,46,26,11,9,97.0,40.0,57.0,0.5652173913043478,0.2391304347826087,0.1956521739130435,0.8043478260869565,2.108695652173913,0.8695652173913043,1.2391304347826086,1.934782608695652,11,22,30,16.45263157894737,1.6452631578947368,3.6,1.2,3.5,1.0,2.25,1.15,2.5,1.1,1.35,1.2391304347826086,0.45652173913043476,0.2391304347826087,18,1.6666666666666667,0.5,G,1420.5958905533234,1849.0,4,6,17.0,13.0,2.5,14.012397876312153,14.502846723921282,0.632153241628776
Bosnia and Herzegovina,32,9,7,16,38.0,55.0,-17.0,0.28125,0.21875,0.5,0.5,1.1875,1.71875,-0.53125,1.0625,7,14,25,13.457894736842103,1.3457894736842104,1.2,0.8,2.0,1.1,1.4,1.5,0.9,-0.1,-0.19999999999999996,-0.53125,0.21875,0.34375,0,0.0,0.0,B,1057.3729455871778,1500.0,5,1,37.0,47.0,0.8999999999999999,9.298407234114766,8.829836289069526,0.07841979289894921
Brazil,46,22,12,12,80.0,47.0,33.0,0.4782608695652174,0.2608695652173913,0.2608695652173913,0.7391304347826086,1.7391304347826086,1.0217391304347827,0.717391304347826,1.6956521739130435,10,19,35,17.636842105263156,1.7636842105263155,2.6,1.2,2.4,1.0,1.8,0.95,1.4,0.85,0.8,0.717391304347826,0.34782608695652173,0.17391304347826086,21,1.8571428571428572,0.5238095238095238,C,1507.5830614769427,1979.0,6,2,6.0,5.0,1.4,16.07706611069359,16.498687871462007,0.5960632246620465
Canada,44,18,15,11,61.0,47.0,14.0,0.4090909090909091,0.3409090909090909,0.25,0.75,1.3863636363636365,1.0681818181818181,0.3181818181818182,1.5681818181818181,7,17,38,18.263157894736842,1.8263157894736843,0.8,0.4,1.1,0.4,1.5,0.55,0.7,0.95,-0.7,0.3181818181818182,0.4318181818181818,0.3409090909090909,20,1.3,0.3,B,1265.4273628985586,1802.0,7,1,23.0,29.0,0.7000000000000001,15.159009915391888,14.340372261463136,0.4248915821507346
Cape Verde,39,17,12,10,49.0,39.0,10.0,0.4358974358974359,0.3076923076923077,0.2564102564102564,0.7435897435897436,1.2564102564102564,1.0,0.2564102564102564,1.6153846153846154,6,17,31,16.057894736842105,1.6057894736842104,1.4,1.2,1.7,1.0,1.35,0.95,0.7,0.4,0.04999999999999982,0.2564102564102564,0.48717948717948717,0.2564102564102564,14,2.0714285714285716,0.5714285714285714,H,1113.90870959147,1500.0,8,7,37.0,45.0,0.7,11.094814419743509,11.0990430701097,0.30581849174814096
Colombia,44,24,12,8,79.0,38.0,41.0,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.8181818181818182,1.7954545454545454,0.8636363636363636,0.9318181818181818,1.9090909090909092,7,18,29,14.742105263157896,1.4742105263157896,1.4,1.2,2.1,1.0,1.7,1.1,1.1,0.6,-0.30000000000000004,0.9318181818181818,0.45454545454545453,0.18181818181818182,21,2.142857142857143,0.6666666666666666,K,1421.8928376085078,1998.0,9,10,5.0,12.0,1.1,13.567354360105702,13.006897108904177,0.6169151410317696
