date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,winner,target,home_matches_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,home_goal_difference,home_win_rate,home_draw_rate,home_loss_rate,home_unbeaten_rate,home_goals_per_match,home_goals_against_per_match,home_goal_difference_per_match,home_points_per_match,home_form5,home_form10,home_form20,home_weighted_form,home_weighted_recent_points,home_attack_5,home_defense_5,home_attack_10,home_defense_10,home_attack_20,home_defense_20,home_goal_diff_10,home_goal_diff_20,home_recent_goal_trend,home_avg_goal_margin,home_clean_sheet_pct,home_failed_to_score_pct,home_neutral_matches,home_neutral_points_per_match,home_neutral_win_rate,home_group,home_fifa_sum_rating,home_elo_rating,home_team_encoded,home_group_encoded,home_elo_rank,home_fifa_sum_rank,home_attack_defense_balance,home_elo_adjusted_form,home_fifa_adjusted_form,home_team_strength_score,away_matches_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,away_goal_difference,away_win_rate,away_draw_rate,away_loss_rate,away_unbeaten_rate,away_goals_per_match,away_goals_against_per_match,away_goal_difference_per_match,away_points_per_match,away_form5,away_form10,away_form20,away_weighted_form,away_weighted_recent_points,away_attack_5,away_defense_5,away_attack_10,away_defense_10,away_attack_20,away_defense_20,away_goal_diff_10,away_goal_diff_20,away_recent_goal_trend,away_avg_goal_margin,away_clean_sheet_pct,away_failed_to_score_pct,away_neutral_matches,away_neutral_points_per_match,away_neutral_win_rate,away_group,away_fifa_sum_rating,away_elo_rating,away_team_encoded,away_group_encoded,away_elo_rank,away_fifa_sum_rank,away_attack_defense_balance,away_elo_adjusted_form,away_fifa_adjusted_form,away_team_strength_score,win_rate_difference,points_per_match_difference,attack_difference,defense_difference,goal_difference_pm_diff,form5_difference,form10_difference,form20_difference,weighted_form_difference,recent_points_difference,clean_sheet_difference,failed_to_score_difference,neutral_win_rate_difference,fifa_sum_difference,elo_difference,team_strength_difference,elo_ratio,fifa_sum_ratio,home_expected_goal_edge,away_expected_goal_edge,expected_goal_edge_difference
2018-06-14,Russia,Saudi Arabia,5.0,0.0,FIFA World Cup,Moscow,Russia,False,2018,Russia,1,47.0,24.0,11.0,9.0,83.0,41.0,36.0,0.5333333333333333,0.2340425531914893,0.1956521739130435,0.8043478260869565,1.837209302325581,0.9148936170212766,0.8,1.8085106382978724,9.0,19.0,38.0,18.515789473684208,1.8515789473684208,1.6,1.0,1.8,0.9,1.8,0.95,0.9,0.9,-0.0499999999999998,0.8,0.4347826086956521,0.1914893617021276,18.0,1.7142857142857142,0.4761904761904761,NON_WC,1349.765568756604,1790.0,25.0,5.0,24.0,21.0,0.8999999999999999,14.797279934059004,15.012422680030776,0.5614579323332082,61.0,24.0,12.0,25.0,70.0,73.0,-3.0,0.3934426229508196,0.1967213114754098,0.4098360655737705,0.5901639344262295,1.147540983606557,1.1967213114754098,-0.0491803278688524,1.3770491803278688,3.0,12.0,27.0,12.689473684210526,1.2689473684210526,0.8,2.0,1.0,1.5,1.05,1.25,-0.5,-0.2,-0.25,-0.0491803278688524,0.3114754098360656,0.3114754098360656,32.0,1.46875,0.4375,H,1209.0117270665833,1500.0,35.0,7.0,37.0,37.0,-0.5,8.767485272370239,9.519660341129198,0.2302976755509435,0.019230769230769218,0.030732860520094718,0.11944444444444424,-0.019607843137254943,0.12164662349676225,1.0,0.0,1.0,0.5052631578947313,0.05052631578947242,0.008869179600887012,-0.0246360582306831,0.009523809523809434,38.34233316873042,0.0,0.03517344821428098,1.0,1.030521057033556,1.0999999999999999,0.9000000000000001,0.09999999999999987
2018-06-15,Egypt,Uruguay,0.0,1.0,FIFA World Cup,Ekaterinburg,Russia,True,2018,Uruguay,-1,49.0,26.0,15.0,8.0,78.0,39.0,39.0,0.5306122448979592,0.3061224489795918,0.1632653061224489,0.8367346938775511,1.5918367346938775,0.7959183673469388,0.7959183673469388,1.8979591836734693,8.0,21.0,37.0,18.363157894736844,1.8363157894736843,1.0,0.2,1.4,0.5,1.2,0.65,0.9,0.55,-0.1999999999999999,0.7959183673469388,0.5102040816326531,0.1632653061224489,24.0,1.5416666666666667,0.375,G,1317.120587251256,1591.0,15.0,6.0,33.0,24.0,0.8999999999999999,13.457293510145702,15.00791069826226,0.5155405817207458,47.0,21.0,17.0,9.0,63.0,35.0,28.0,0.4468085106382978,0.3617021276595745,0.1914893617021276,0.8085106382978723,1.3404255319148937,0.7446808510638298,0.5957446808510638,1.702127659574468,6.0,16.0,26.0,13.421052631578949,1.3421052631578947,0.8,1.4,1.0,0.9,0.85,0.85,0.1,0.0,-0.0499999999999999,0.5957446808510638,0.5106382978723404,0.3404255319148936,18.0,1.7777777777777777,0.5,H,1379.7804789176744,1890.0,46.0,7.0,14.0,17.0,0.0999999999999999,11.683919610172367,11.49063173411472,0.4803671335064648,0.08380373425966142,0.19583152409900118,0.2514112027789839,0.05123751628310902,0.20017368649587497,2.0,5.0,11.0,4.942105263157895,0.49421052631578966,-0.0004342162396873128,-0.1771602257924447,-0.125,-62.65989166641839,-299.0,0.03517344821428098,0.8417989417989418,0.9545870574168653,0.4999999999999999,0.5,-1.1102230246251565e-16
2018-06-15,Morocco,Iran,0.0,1.0,FIFA World Cup,Saint Petersburg,Russia,True,2018,Iran,-1,59.0,41.0,12.0,6.0,113.0,27.0,86.0,0.6949152542372882,0.2033898305084746,0.1016949152542373,0.8983050847457628,1.915254237288136,0.4576271186440678,1.4576271186440677,2.288135593220339,11.0,24.0,52.0,25.57894736842105,2.5578947368421057,2.2,0.4,2.0,0.3,1.9,0.3,1.7,1.6,0.3000000000000002,1.4576271186440677,0.6440677966101694,0.1864406779661017,25.0,1.84,0.52,C,1447.608465271882,1830.0,27.0,2.0,20.0,10.0,1.7,21.56124996969624,22.97635394012493,0.8349655966337283,44.0,28.0,9.0,7.0,92.0,38.0,54.0,0.6363636363636364,0.2045454545454545,0.1590909090909091,0.8409090909090909,2.090909090909091,0.8636363636363636,1.2272727272727273,2.113636363636364,8.0,15.0,41.0,19.68947368421053,1.9689473684210528,1.8,0.6,1.7,0.8,1.8,0.75,0.9,1.05,0.0,1.2272727272727273,0.4545454545454545,0.1590909090909091,21.0,2.0476190476190474,0.6190476190476191,G,1410.0282890142366,1754.0,21.0,6.0,26.0,14.0,0.8999999999999999,15.907571092632548,17.226984518853893,0.688979324954072,0.05855161787365182,0.1744992295839749,-0.1756548536209548,-0.40600924499229585,0.2303543913713404,3.0,9.0,11.0,5.889473684210522,0.5889473684210529,0.18952234206471497,0.02734976887519261,-0.09904761904761905,37.58017625764546,76.0,0.14598627167965628,1.0433295324971494,1.0266520725509118,1.2,1.4,-0.19999999999999996
2018-06-15,Portugal,Spain,3.0,3.0,FIFA World Cup,Sochi,Russia,True,2018,Draw,0,47.0,30.0,9.0,8.0,116.0,43.0,73.0,0.6382978723404256,0.1914893617021276,0.1702127659574468,0.8297872340425532,2.4680851063829787,0.9148936170212766,1.553191489361702,2.106382978723404,8.0,21.0,40.0,20.084210526315783,2.0084210526315784,2.6,1.0,2.6,1.0,2.2,0.9,1.6,1.3,0.3999999999999999,1.553191489361702,0.425531914893617,0.1914893617021276,15.0,1.5333333333333334,0.4,K,1460.6863648516642,1976.0,33.0,10.0,7.0,8.0,1.6,18.28023952095808,18.203674892532124,0.7791416635557997,47.0,31.0,13.0,3.0,120.0,41.0,79.0,0.6595744680851063,0.2765957446808511,0.0638297872340425,0.9361702127659576,2.5531914893617023,0.8723404255319149,1.680851063829787,2.25531914893617,11.0,24.0,48.0,23.62105263157895,2.362105263157895,2.6,0.4,3.1,0.8,2.65,0.95,2.3,1.7,-0.0499999999999998,1.680851063829787,0.4680851063829787,0.1276595744680851,18.0,2.0,0.5555555555555556,H,1611.5829708997296,2171.0,40.0,7.0,1.0,1.0,2.3,23.62105263157895,23.62105263157895,0.9357067221490608,-0.02127659574468077,-0.14893617021276606,-0.08510638297872353,0.04255319148936165,-0.12765957446808507,-3.0,-3.0,-8.0,-3.536842105263169,-0.3536842105263167,-0.04255319148936165,0.0638297872340425,-0.15555555555555556,-150.89660604806545,-195.0,-0.15656505859326109,0.9101796407185628,0.9063674605820503,1.8,2.1,-0.30000000000000004
2018-06-16,Argentina,Iceland,1.0,1.0,FIFA World Cup,Moscow,Russia,True,2018,Draw,0,48.0,35.0,6.0,7.0,101.0,31.0,70.0,0.7291666666666666,0.125,0.1458333333333333,0.8541666666666666,2.1041666666666665,0.6458333333333334,1.4583333333333333,2.3125,15.0,25.0,45.0,23.20526315789473,2.3205263157894733,3.2,0.2,2.5,0.4,2.15,0.5,2.1,1.65,1.0500000000000005,1.4583333333333333,0.6041666666666666,0.0625,24.0,2.2916666666666665,0.7083333333333334,J,1592.6743230637414,2113.0,1.0,9.0,2.0,2.0,2.1,22.58531600766079,22.93299659953746,0.9313672874388192,46.0,24.0,11.0,9.0,79.0,41.0,31.0,0.5306122448979592,0.2391304347826087,0.2127659574468085,0.7872340425531915,1.7567567567567568,0.9682539682539684,0.717391304347826,1.7954545454545454,8.0,19.0,37.0,18.31578947368421,1.8315789473684208,1.6,1.0,1.8,1.0,1.8,0.95,0.8,0.85,-0.05,0.717391304347826,0.4347826086956521,0.2115384615384615,18.0,1.6666666666666667,0.4666666666666667,NON_WC,1317.120587251256,1790.0,24.0,6.0,24.0,24.0,0.8,14.07670488981551,14.502846723921282,0.5138750349747113,0.019230769230769218,0.030732860520094718,0.11944444444444424,-0.019607843137254943,0.12164662349676225,1.0,0.0,1.0,0.5052631578947313,0.05052631578947242,0.008869179600887012,-0.0246360582306831,0.009523809523809434,38.34233316873042,0.0,0.03517344821428098,1.0,1.030521057033556,1.0999999999999999,0.9000000000000001,0.09999999999999987
2018-06-16,France,Australia,2.0,1.0,FIFA World Cup,Kazan,Russia,True,2018,France,1,52.0,36.0,9.0,7.0,115.0,46.0,69.0,0.6923076923076923,0.173076923076923,0.1346153846153846,0.8653846153846154,2.2115384615384617,0.8846153846153846,1.3269230769230769,2.25,13.0,25.0,42.0,22.38947368421052,2.2389473684210524,2.8,1.0,2.7,1.1,2.1,1.05,1.6,1.05,0.6999999999999997,1.3269230769230769,0.4615384615384615,0.1538461538461538,26.0,2.269230769230769,0.6923076923076923,I,1583.8154654672553,2062.0,17.0,8.0,3.0,3.0,1.6,21.26535916022206,22.003704013406995,0.8782912906235095,44.0,24.0,7.0,13.0,75.0,38.0,37.0,0.5454545454545454,0.1590909090909091,0.2954545454545454,0.7045454545454546,1.7045454545454546,0.8636363636363636,0.8409090909090909,1.7954545454545454,6.0,18.0,37.0,18.27894736842105,1.827894736842105,1.2,1.2,1.4,1.0,1.65,0.8,0.4,0.85,-0.4499999999999999,0.8409090909090909,0.4545454545454545,0.2045454545454545,20.0,1.35,0.4,D,1358.1852936342425,1774.0,2.0,3.0,25.0,20.0,0.3999999999999999,14.9363669422289,15.404852214989344,0.5620707888625989,0.14685314685314688,0.4545454545454546,0.5069930069930071,0.020979020979020935,0.48601398601398593,7.0,7.0,5.0,4.110526315789471,0.41105263157894734,0.006993006993007034,-0.0506993006993007,0.29230769230769227,225.6301718330128,288.0,0.31622050176091065,1.1623449830890642,1.1661262074405694,1.7000000000000002,0.2999999999999998,1.4000000000000004
2018-06-16,Croatia,Nigeria,2.0,0.0,FIFA World Cup,Kaliningrad,Russia,True,2018,Croatia,1,49.0,26.0,14.0,9.0,90.0,49.0,41.0,0.5306122448979592,0.2857142857142857,0.1836734693877551,0.8163265306122449,1.836734693877551,1.0,0.8367346938775511,1.8775510204081636,12.0,25.0,38.0,19.989473684210527,1.9989473684210528,2.4,1.4,2.9,0.8,2.1,1.05,2.1,1.05,0.2999999999999998,0.8367346938775511,0.3877551020408163,0.2040816326530612,21.0,1.5714285714285714,0.3809523809523809,L,1394.4802330341,1933.0,10.0,11.0,9.0,16.0,2.1,17.7980896506582,17.296612352403194,0.6295174128447968,46.0,24.0,11.0,9.0,79.0,41.0,31.0,0.5306122448979592,0.2391304347826087,0.2127659574468085,0.7872340425531915,1.7567567567567568,0.9682539682539684,0.717391304347826,1.7954545454545454,8.0,19.0,37.0,18.31578947368421,1.8315789473684208,1.6,1.0,1.8,1.0,1.8,0.95,0.8,0.85,-0.05,0.717391304347826,0.4347826086956521,0.2115384615384615,18.0,1.6666666666666667,0.4666666666666667,NON_WC,1317.120587251256,1790.0,24.0,6.0,24.0,24.0,0.8,14.07670488981551,14.502846723921282,0.5138750349747113,0.019230769230769218,0.030732860520094718,0.11944444444444424,-0.019607843137254943,0.12164662349676225,1.0,0.0,1.0,0.5052631578947313,0.05052631578947242,0.008869179600887012,-0.0246360582306831,0.009523809523809434,38.34233316873042,0.0,0.03517344821428098,1.0,1.030521057033556,1.0999999999999999,0.9000000000000001,0.09999999999999987
2018-06-17,Germany,Mexico,0.0,1.0,FIFA World Cup,Moscow,Russia,True,2018,Mexico,-1,45.0,24.0,8.0,13.0,92.0,56.0,36.0,0.5333333333333333,0.1777777777777777,0.2888888888888888,0.7111111111111111,2.0444444444444443,1.2444444444444445,0.8,1.7777777777777777,15.0,24.0,42.0,22.031578947368416,2.203157894736841,3.6,0.8,2.6,0.9,2.55,1.05,1.7,1.5,1.0500000000000005,0.8,0.2888888888888888,0.1777777777777777,7.0,1.1428571428571428,0.2857142857142857,E,1478.3281811452373,1910.0,18.0,4.0,12.0,6.0,1.7000000000000002,19.382918373778757,20.20988346311293,0.6525710647047879,63.0,32.0,16.0,15.0,88.0,61.0,27.0,0.5079365079365079,0.2539682539682539,0.238095238095238,0.7619047619047619,1.3968253968253967,0.9682539682539684,0.4285714285714285,1.7777777777777777,11.0,19.0,40.0,19.64210526315789,1.9642105263157892,1.6,0.2,1.2,0.4,1.25,0.65,0.8,0.6,0.3500000000000001,0.4285714285714285,0.5238095238095238,0.2857142857142857,44.0,1.75,0.5,A,1422.0274830600924,1835.0,26.0,0.0,18.0,11.0,0.7999999999999999,16.60214793085893,17.33178744981147,0.5614579323332082,0.025396825396825418,0.0,0.6476190476190475,0.2761904761904761,0.37142857142857155,4.0,5.0,2.0,2.3894736842105253,0.2389473684210519,-0.23492063492063503,-0.107936507936508,-0.2142857142857143,56.30069808514486,75.0,0.0911131323715797,1.0408719346049047,1.039591849493647,2.2,0.29999999999999993,1.9000000000000004
2018-06-17,Brazil,Switzerland,1.0,1.0,FIFA World Cup,Rostov-on-Don,Russia,True,2018,Draw,0,46.0,22.0,12.0,12.0,80.0,47.0,33.0,0.4782608695652174,0.2608695652173913,0.2608695652173913,0.7391304347826086,1.7391304347826086,1.0217391304347827,0.717391304347826,1.6956521739130437,10.0,19.0,35.0,17.636842105263156,1.7636842105263155,2.6,1.2,2.4,1.0,1.8,0.95,1.4,0.85,0.8,0.717391304347826,0.3478260869565217,0.1739130434782608,21.0,1.8571428571428568,0.5238095238095238,C,1507.5830614769427,1979.0,6.0,2.0,6.0,5.0,1.4,16.07706611069359,16.498687871462007,0.5960632246620465,46.0,19.0,18.0,9.0,85.0,55.0,30.0,0.4130434782608695,0.391304347826087,0.1956521739130435,0.8043478260869565,1.8478260869565215,1.1956521739130437,0.6521739130434783,1.6304347826086956,8.0,21.0,31.0,16.773684210526316,1.6773684210526316,2.4,1.4,2.5,0.7,2.0,1.3,1.8,0.7,0.3999999999999999,0.6521739130434783,0.3043478260869565,0.1739130434782608,15.0,1.7333333333333334,0.4666666666666667,B,1349.765568756604,1897.0,42.0,1.0,13.0,21.0,1.8,14.656692283449296,14.048635296713732,0.4881372206570251,0.0652173913043479,0.06521739130434812,-0.10869565217391286,-0.17391304347826098,0.06521739130434778,2.0,-2.0,4.0,0.8631578947368403,0.0863157894736839,0.04347826086956519,0.0,0.05714285714285716,157.8174927203388,82.0,0.10792600400502145,1.0432261465471797,1.1169221503151243,1.7,1.5,0.19999999999999996
2018-06-18,Sweden,South Korea,1.0,0.0,FIFA World Cup,Nizhny Novgorod,Russia,True,2018,Sweden,1,40.0,22.0,4.0,14.0,77.0,54.0,23.0,0.55,0.1,0.35,0.65,1.925,1.35,0.575,1.75,7.0,14.0,33.0,16.27894736842105,1.627894736842105,1.6,1.8,1.6,1.8,2.05,1.45,-0.2,0.6,-0.4499999999999997,0.575,0.3,0.225,9.0,2.333333333333333,0.7777777777777778,F,1222.7929486906655,1660.0,41.0,5.0,31.0,34.0,-0.1999999999999999,12.4472835705108,12.35169545325894,0.4566307354970666,47.0,24.0,13.0,10.0,89.0,47.0,42.0,0.5106382978723404,0.2765957446808511,0.2127659574468085,0.7872340425531915,1.893617021276596,1.0,0.8936170212765957,1.8085106382978724,9.0,19.0,41.0,19.83684210526316,1.983684210526316,1.6,1.0,1.8,1.2,1.75,0.95,0.6,0.8,-0.1499999999999999,0.8936170212765957,0.4468085106382978,0.1914893617021276,19.0,1.4210526315789471,0.3684210526315789,A,1378.181679088622,1500.0,39.0,0.0,37.0,18.0,0.6000000000000001,13.705786806952895,16.963924820566024,0.5138750349747113,0.03936170212765966,-0.0585106382978724,0.03138297872340412,0.3500000000000001,-0.31861702127659575,-2.0,-5.0,-8.0,-3.5578947368421083,-0.3557894736842109,-0.1468085106382978,0.0335106382978724,0.40935672514619886,-155.38873039795658,160.0,-0.0572442994776447,1.1066666666666667,0.8872509098359851,0.40000000000000013,0.0,0.40000000000000013
