team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,win_rate,draw_rate,loss_rate,unbeaten_rate,goals_per_match,goals_against_per_match,goal_difference_per_match,points_per_match,form5,form10,form20,weighted_form,weighted_recent_points,attack_5,defense_5,attack_10,defense_10,attack_20,defense_20,goal_diff_10,goal_diff_20,recent_goal_trend,avg_goal_margin,clean_sheet_pct,failed_to_score_pct,neutral_matches,neutral_points_per_match,neutral_win_rate,group,fifa_sum_rating,elo_rating,team_encoded,group_encoded,elo_rank,fifa_sum_rank,attack_defense_balance,elo_adjusted_form,fifa_adjusted_form,team_strength_score
Czech Republic,36,19,11,6,68.0,39.0,29.0,0.5277777777777778,0.3055555555555556,0.16666666666666666,0.8333333333333334,1.8888888888888888,1.0833333333333333,0.8055555555555556,1.8888888888888888,11,16,36,16.25,1.7176954732510286,2.6,1.0,1.8,1.3,1.8,1.2,0.5,0.6000000000000001,1.0,0.8055555555555556,0.3333333333333333,0.1111111111111111,6,1.3333333333333333,0.3333333333333333,A,1191.8730596065122,1831.5,12,0,19.0,40.0,0.5,14.652,12.713312635802797,0.7119688084155901
Mexico,63,32,16,15,88.0,61.0,27.0,0.5079365079365079,0.25396825396825395,0.23809523809523808,0.7619047619047619,1.3968253968253967,0.9682539682539683,0.42857142857142855,1.7777777777777777,11,19,40,17.75,2.065843621399177,1.6,0.2,1.2,0.4,1.25,0.65,0.7999999999999999,0.6,0.8000000000000002,0.42857142857142855,0.5238095238095238,0.2857142857142857,44,1.75,0.5,A,1422.0274830600924,1835.0,26,0,17.0,11.0,0.7999999999999999,17.4325,18.01234811876117,0.7478472557584624
South Africa,48,20,21,7,69.0,41.0,28.0,0.4166666666666667,0.4375,0.14583333333333334,0.8541666666666666,1.4375,0.8541666666666666,0.5833333333333334,1.6875,5,15,36,12.649999999999999,1.3020576131687245,1.2,1.4,1.4,1.0,1.65,0.75,0.3999999999999999,0.8999999999999999,-1.0999999999999999,0.5833333333333334,0.4166666666666667,0.2916666666666667,13,1.5384615384615385,0.38461538461538464,A,1178.7741719154324,1831.5,38,0,19.0,43.0,0.3999999999999999,13.73625,11.787741719154322,0.6854558396758446
South Korea,47,24,13,10,89.0,47.0,42.0,0.5106382978723404,0.2765957446808511,0.2127659574468085,0.7872340425531915,1.8936170212765957,1.0,0.8936170212765957,1.8085106382978724,9,19,41,16.8,1.809053497942387,1.6,1.0,1.8,1.2,1.75,0.95,0.6000000000000001,0.8,-0.19999999999999996,0.8936170212765957,0.44680851063829785,0.19148936170212766,19,1.4210526315789473,0.3684210526315789,A,1378.181679088622,1831.5,39,0,19.0,18.0,0.6000000000000001,17.39925,17.456967935122545,0.7445334493692912
Bosnia and Herzegovina,32,9,7,16,38.0,55.0,-17.0,0.28125,0.21875,0.5,0.5,1.1875,1.71875,-0.53125,1.0625,7,14,25,11.8,1.4,1.2,0.8,2.0,1.1,1.4,1.5,0.8999999999999999,-0.10000000000000009,0.5,-0.53125,0.21875,0.34375,0,0.0,0.0,B,1057.3729455871778,1831.5,5,1,19.0,47.0,0.8999999999999999,12.8205,9.86881415881366,0.6040824272975958
Canada,44,18,15,11,61.0,47.0,14.0,0.4090909090909091,0.3409090909090909,0.25,0.75,1.3863636363636365,1.0681818181818181,0.3181818181818182,1.5681818181818181,7,17,38,14.649999999999999,1.576954732510288,0.8,0.4,1.1,0.4,1.5,0.55,0.7000000000000001,0.95,-0.5499999999999999,0.3181818181818182,0.4318181818181818,0.3409090909090909,20,1.3,0.3,B,1265.4273628985586,1802.0,7,1,23.0,29.0,0.7000000000000001,15.317,14.341510112850331,0.688748694267136
Qatar,52,19,13,20,75.0,78.0,-3.0,0.36538461538461536,0.25,0.38461538461538464,0.6153846153846154,1.4423076923076923,1.5,-0.057692307692307696,1.3461538461538463,1,7,18,5.35,0.6090534979423867,0.4,1.6,0.9,1.7,1.15,1.95,-0.7999999999999999,-0.8,-0.40000000000000013,-0.057692307692307696,0.21153846153846154,0.21153846153846154,14,1.0714285714285714,0.21428571428571427,B,1208.1337814122764,1427.0,34,1,38.0,38.0,-0.7999999999999999,4.9945,5.637957646590624,0.5751830269292263
Switzerland,46,19,18,9,85.0,55.0,30.0,0.41304347826086957,0.391304347826087,0.1956521739130435,0.8043478260869565,1.8478260869565217,1.1956521739130435,0.6521739130434783,1.6304347826086956,8,21,31,15.349999999999998,1.9234567901234567,2.4,1.4,2.5,0.7,2.0,1.3,1.8,0.7,0.30000000000000004,0.6521739130434783,0.30434782608695654,0.17391304347826086,15,1.7333333333333334,0.4666666666666667,B,1349.765568756604,1897.0,42,1,12.0,21.0,1.8,19.9185,18.896717962592454,0.7366788747018919
Australia,44,24,7,13,75.0,38.0,37.0,0.5454545454545454,0.1590909090909091,0.29545454545454547,0.7045454545454546,1.7045454545454546,0.8636363636363636,0.8409090909090909,1.7954545454545454,6,18,37,14.25,1.6074074074074074,1.2,1.2,1.4,1.0,1.65,0.8,0.3999999999999999,0.8499999999999999,-0.8499999999999999,0.8409090909090909,0.45454545454545453,0.20454545454545456,20,1.35,0.4,C,1358.1852936342425,1774.0,2,2,25.0,20.0,0.3999999999999999,15.966000000000001,16.298223523610908,0.7256119872253318
Paraguay,32,11,9,12,29.0,33.0,-4.0,0.34375,0.28125,0.375,0.625,0.90625,1.03125,-0.125,1.3125,6,14,30,12.0,1.3679012345679014,1.0,1.4,1.0,1.0,1.1,1.1,0.0,0.0,-0.3999999999999999,-0.125,0.4375,0.375,5,0.6,0.2,C,1215.3614431965646,1833.0,32,2,18.0,35.0,0.0,12.831,11.343373469834603,0.6568702911754876
Turkey,37,21,6,10,65.0,51.0,14.0,0.5675675675675675,0.16216216216216217,0.2702702702702703,0.7297297297297297,1.7567567567567568,1.3783783783783783,0.3783783783783784,1.864864864864865,13,22,42,20.05,2.3069958847736625,2.0,0.6,2.1,1.4,1.95,1.2,0.7000000000000002,0.75,0.6499999999999999,0.3783783783783784,0.2972972972972973,0.21621621621621623,7,1.2857142857142858,0.42857142857142855,C,1301.9409887396662,1880.0,44,2,14.0,26.0,0.7000000000000002,20.68,19.095134501515105,0.7421944974322126
United States,57,28,11,18,107.0,66.0,41.0,0.49122807017543857,0.19298245614035087,0.3157894736842105,0.6842105263157895,1.8771929824561404,1.1578947368421053,0.7192982456140351,1.6666666666666667,9,16,32,14.55,1.6962962962962962,2.4,2.2,1.8,1.7,1.75,1.5,0.10000000000000009,0.25,-0.050000000000000266,0.7192982456140351,0.3508771929824561,0.15789473684210525,4,1.25,0.25,C,1367.8599334539645,1831.5,45,2,19.0,19.0,0.10000000000000009,14.652,14.590505956842287,0.7283572576655682
Brazil,46,22,12,12,80.0,47.0,33.0,0.4782608695652174,0.2608695652173913,0.2608695652173913,0.7391304347826086,1.7391304347826086,1.0217391304347827,0.717391304347826,1.6956521739130435,10,19,35,16.45,1.8839506172839506,2.6,1.2,2.4,1.0,1.8,0.95,1.4,0.8500000000000001,0.55,0.717391304347826,0.34782608695652173,0.17391304347826086,21,1.8571428571428572,0.5238095238095238,D,1507.5830614769427,1979.0,6,3,6.0,5.0,1.4,18.8005,19.096052112041274,0.7853960009816593
Haiti,32,16,8,8,71.0,37.0,34.0,0.5,0.25,0.25,0.75,2.21875,1.15625,1.0625,1.75,7,13,37,13.3,1.3695473251028807,0.8,1.0,1.2,1.1,2.5,1.1,0.09999999999999987,1.4,-1.5999999999999999,1.0625,0.375,0.1875,18,1.4444444444444444,0.3888888888888889,D,1099.4531592641597,1542.0,20,3,35.0,46.0,0.09999999999999987,10.023,9.528594046956051,0.6331982561137446
Morocco,59,41,12,6,113.0,27.0,86.0,0.6949152542372882,0.2033898305084746,0.1016949152542373,0.8983050847457628,1.9152542372881356,0.4576271186440678,1.4576271186440677,2.288135593220339,11,24,52,21.05,2.410699588477367,2.2,0.4,2.0,0.3,1.9,0.3,1.7,1.5999999999999999,0.2000000000000004,1.4576271186440677,0.6440677966101694,0.1864406779661017,25,1.84,0.52,D,1447.608465271882,1830.0,27,3,20.0,10.0,1.7,21.96,23.161735444350114,0.8086910719051912
Scotland,36,15,6,15,55.0,53.0,2.0,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.5833333333333334,1.5277777777777777,1.4722222222222223,0.05555555555555555,1.4166666666666667,6,19,29,13.35,1.766255144032922,2.0,1.6,2.1,1.0,1.5,1.25,1.1,0.25,0.1499999999999999,0.05555555555555555,0.3055555555555556,0.25,5,1.4,0.4,D,1190.5959835527815,1790.0,36,3,24.0,41.0,1.1,17.005,15.080882458335232,0.6612947030203988
Curaçao,33,12,10,11,56.0,43.0,13.0,0.36363636363636365,0.30303030303030304,0.3333333333333333,0.6666666666666666,1.696969696969697,1.303030303030303,0.3939393939393939,1.393939393939394,4,12,33,10.75,1.0609053497942387,1.8,2.2,1.6,1.6,2.0,1.05,0.0,0.95,-1.35,0.3939393939393939,0.36363636363636365,0.3333333333333333,12,1.1666666666666667,0.25,E,1008.5148626910852,1467.0,11,4,37.0,48.0,0.0,8.802,8.068118901528681,0.5629982420794319
Ecuador,41,18,16,7,45.0,27.0,18.0,0.43902439024390244,0.3902439024390244,0.17073170731707318,0.8292682926829268,1.0975609756097562,0.6585365853658537,0.43902439024390244,1.7073170731707317,9,16,33,14.7,1.6748971193415638,1.2,0.6,0.9,0.5,0.9,0.4,0.4,0.5,0.09999999999999998,0.43902439024390244,0.4634146341463415,0.34146341463414637,16,1.75,0.5,E,1336.006932222297,1933.0,14,4,9.0,22.0,0.4,15.464,14.25074061037117,0.7378294631628206
Germany,45,24,8,13,92.0,56.0,36.0,0.5333333333333333,0.17777777777777778,0.28888888888888886,0.7111111111111111,2.0444444444444443,1.2444444444444445,0.8,1.7777777777777777,15,24,42,21.75,2.65679012345679,3.6,0.8,2.6,0.9,2.55,1.05,1.7000000000000002,1.4999999999999998,1.3,0.8,0.28888888888888886,0.17777777777777778,7,1.1428571428571428,0.2857142857142857,E,1478.3281811452373,1910.0,18,4,11.0,6.0,1.7000000000000002,22.919999999999998,23.653250898323797,0.7875682212075303
Ivory Coast,43,27,8,8,79.0,29.0,50.0,0.627906976744186,0.18604651162790697,0.18604651162790697,0.813953488372093,1.8372093023255813,0.6744186046511628,1.1627906976744187,2.0697674418604652,12,22,39,19.049999999999997,2.242798353909465,2.6,1.0,2.0,0.7,1.7,0.5,1.3,1.2,0.40000000000000013,1.1627906976744187,0.5348837209302325,0.23255813953488372,16,2.0625,0.625,E,1298.0015911071555,1831.5,23,4,19.0,27.0,1.3,20.1465,19.037356669571615,0.7586321119830208
Japan,46,31,7,8,122.0,37.0,85.0,0.6739130434782609,0.15217391304347827,0.17391304347826086,0.8260869565217391,2.652173913043478,0.8043478260869565,1.8478260869565217,2.1739130434782608,15,23,46,22.049999999999997,2.48724279835391,1.6,0.0,1.9,0.6,2.4,0.45,1.2999999999999998,1.95,-0.34999999999999987,1.8478260869565217,0.43478260869565216,0.13043478260869565,17,1.7647058823529411,0.5294117647058824,F,1449.79163743567,1878.0,24,5,15.0,9.0,1.2999999999999998,21.596999999999998,22.230138440680275,0.8176646163395792
