group,projected_position,team,expected_points,expected_goal_diff,expected_goals_for,qualify_probability
A,1,Mexico,4.53,0.72,5.43,0.7919
A,2,South Korea,4.4,0.76,5.24,0.7929
A,3,Czech Republic,3.26,-0.85,4.69,0.5492
A,4,South Africa,3.2,-0.63,4.51,0.5484
B,1,Switzerland,6.1,2.64,6.13,0.9498
B,2,Canada,5.4,1.79,5.79,0.9079
B,3,Qatar,2.85,-1.72,4.4,0.4843
B,4,Bosnia and Herzegovina,2.25,-2.71,3.77,0.3445
C,1,Morocco,6.16,2.38,6.59,0.923
C,2,Brazil,5.01,0.93,5.57,0.8527
C,3,Scotland,4.39,0.29,5.45,0.7716
C,4,Haiti,1.58,-3.61,3.17,0.2006
D,1,Turkey,5.66,1.88,6.25,0.8984
D,2,Australia,5.63,1.86,6.14,0.8978
D,3,United States,2.88,-1.84,4.0,0.462
D,4,Paraguay,2.55,-1.9,4.22,0.4008
E,1,Germany,5.23,1.59,5.8,0.8945
E,2,Ecuador,4.16,0.37,5.04,0.7449
E,3,Ivory Coast,4.1,0.0,5.33,0.6936
E,4,Curaçao,2.68,-1.96,3.87,0.3977
F,1,Japan,5.83,2.05,6.24,0.9084
F,2,Netherlands,4.85,1.07,5.45,0.8634
F,3,Tunisia,4.13,-0.04,5.5,0.7106
F,4,Sweden,2.0,-3.08,3.46,0.2689
G,1,Belgium,5.48,1.57,6.13,0.8756
G,2,Iran,6.12,2.44,6.35,0.9303
G,3,New Zealand,2.69,-1.87,4.09,0.4295
G,4,Egypt,2.35,-2.15,3.9,0.3494
H,1,Spain,6.37,2.82,6.49,0.9505
H,2,Uruguay,5.69,2.01,5.93,0.9295
H,3,Saudi Arabia,2.7,-2.02,4.19,0.4498
H,4,Cape Verde,2.19,-2.82,3.56,0.3347
I,1,France,7.07,3.75,6.73,0.9762
I,2,Senegal,4.75,0.65,5.19,0.8416
I,3,Norway,2.82,-1.55,4.33,0.4535
I,4,Iraq,2.0,-2.85,3.32,0.2614
J,1,Argentina,6.74,3.17,6.69,0.9504
J,2,Austria,4.01,-0.05,4.84,0.7359
J,3,Algeria,3.14,-1.21,4.55,0.5369
J,4,Jordan,2.83,-1.92,4.42,0.4586
K,1,Portugal,5.54,1.96,5.8,0.9161
K,2,Colombia,4.49,0.87,5.19,0.817
K,3,Uzbekistan,3.09,-0.88,4.25,0.5379
K,4,DR Congo,2.2,-1.95,3.65,0.3043
L,1,Croatia,6.24,2.7,6.33,0.9558
L,2,England,5.96,2.43,6.16,0.941
L,3,Panama,3.61,-0.94,4.62,0.6485
L,4,Ghana,1.26,-4.2,2.73,0.1578
