group,projected_position,team,expected_points,expected_goal_diff,expected_goals_for,qualify_percent
A,1,Mexico,5,1,5,79
A,2,South Korea,4,1,5,79
A,3,Czech Republic,3,-1,5,55
A,4,South Africa,3,-1,5,55
B,1,Switzerland,6,3,6,95
B,2,Canada,5,2,6,91
B,3,Qatar,3,-2,4,48
B,4,Bosnia and Herzegovina,2,-3,4,34
C,1,Morocco,6,2,7,92
C,2,Brazil,5,1,6,85
C,3,Scotland,4,0,5,77
C,4,Haiti,2,-4,3,20
D,1,Turkey,6,2,6,90
D,2,Australia,6,2,6,90
D,3,United States,3,-2,4,46
D,4,Paraguay,3,-2,4,40
E,1,Germany,5,2,6,89
E,2,Ecuador,4,0,5,74
E,3,Ivory Coast,4,0,5,69
E,4,Curaçao,3,-2,4,40
F,1,Japan,6,2,6,91
F,2,Netherlands,5,1,5,86
F,3,Tunisia,4,0,6,71
F,4,Sweden,2,-3,3,27
G,1,Belgium,7,2,6,88
G,2,Iran,6,2,6,93
G,3,New Zealand,3,-2,4,43
G,4,Egypt,2,-2,4,35
H,1,Spain,6,3,6,95
H,2,Uruguay,6,2,6,93
H,3,Saudi Arabia,3,-2,4,45
H,4,Cape Verde,2,-3,4,33
I,1,France,7,4,7,98
I,2,Senegal,5,1,5,84
I,3,Norway,3,-2,4,45
I,4,Iraq,2,-3,3,26
J,1,Argentina,7,3,7,95
J,2,Austria,4,0,5,74
J,3,Algeria,3,-1,5,54
J,4,Jordan,3,-2,4,46
K,1,Portugal,6,2,6,92
K,2,Colombia,4,1,5,82
K,3,Uzbekistan,3,-1,4,54
K,4,DR Congo,2,-2,4,30
L,1,Croatia,6,3,6,96
L,2,England,6,2,6,94
L,3,Panama,4,-1,5,65
L,4,Ghana,1,-4,3,16
