team,round_of_32_probability
France,0.9844
Spain,0.9614
Argentina,0.9565
England,0.9477
Morocco,0.942
Switzerland,0.9364
Turkey,0.9354
Portugal,0.9345
Croatia,0.9327
Japan,0.9196
Iran,0.9188
Uruguay,0.8938
Canada,0.8935
Australia,0.8805
Netherlands,0.8748
Belgium,0.86
Brazil,0.8555
Senegal,0.8459
Colombia,0.8357
Germany,0.8325
South Korea,0.8001
Ivory Coast,0.7994
Scotland,0.7779
Ecuador,0.7737
Austria,0.7575
Mexico,0.7505
Tunisia,0.7475
Panama,0.6465
South Africa,0.6311
New Zealand,0.6071
Czech Republic,0.5004
Jordan,0.4863
