team,1st,2nd,3rd,4th,average_points,qualify
France,0.7803,0.1652,0.0445,0.01,7.3859,0.9844
Spain,0.6344,0.2548,0.0855,0.0253,6.6983,0.9614
Argentina,0.7007,0.1841,0.0829,0.0323,6.87,0.9565
England,0.4409,0.3939,0.1334,0.0318,6.0263,0.9477
Morocco,0.5672,0.2555,0.1393,0.038,6.4455,0.942
Switzerland,0.526,0.3083,0.1211,0.0446,5.9916,0.9364
Turkey,0.5494,0.2908,0.1155,0.0443,6.2273,0.9354
Portugal,0.5708,0.2758,0.1119,0.0415,5.7684,0.9345
Croatia,0.4518,0.3413,0.1648,0.0421,6.0036,0.9327
Japan,0.4706,0.2909,0.1881,0.0504,5.8682,0.9196
Iran,0.4884,0.3136,0.1502,0.0478,5.938,0.9188
Uruguay,0.2818,0.4758,0.1845,0.0579,5.2449,0.8938
Canada,0.3419,0.4076,0.1802,0.0703,5.283,0.8935
Australia,0.3605,0.4018,0.169,0.0687,5.3955,0.8805
Netherlands,0.2593,0.3707,0.2956,0.0744,4.854,0.8748
Belgium,0.3629,0.3363,0.211,0.0898,5.2899,0.86
Brazil,0.2171,0.3945,0.3041,0.0843,4.9045,0.8555
Senegal,0.1454,0.5359,0.2402,0.0785,4.7394,0.8459
Colombia,0.3158,0.3954,0.2054,0.0834,4.6435,0.8357
Germany,0.2871,0.3096,0.2773,0.126,4.5772,0.8325
South Korea,0.3533,0.2854,0.2293,0.132,4.3436,0.8001
Ivory Coast,0.3916,0.2461,0.2032,0.1591,4.8247,0.7994
Scotland,0.1979,0.2929,0.392,0.1172,4.3872,0.7779
Ecuador,0.2539,0.3089,0.2787,0.1585,4.3169,0.7737
Austria,0.1386,0.4088,0.318,0.1346,4.1212,0.7575
Mexico,0.3143,0.2739,0.2259,0.1859,4.1678,0.7505
Tunisia,0.2439,0.2724,0.3062,0.1775,4.3756,0.7475
Panama,0.0876,0.2106,0.5081,0.1937,3.6423,0.6465
South Africa,0.1866,0.2456,0.2982,0.2696,3.4744,0.6311
New Zealand,0.1112,0.2453,0.3926,0.2509,3.526,0.6071
Czech Republic,0.1458,0.1951,0.2466,0.4125,3.0323,0.5004
Jordan,0.0963,0.1912,0.3141,0.3984,2.9434,0.4863
Algeria,0.0644,0.2159,0.285,0.4347,2.8282,0.4718
Uzbekistan,0.0725,0.2064,0.3699,0.3512,2.8466,0.4671
Bosnia and Herzegovina,0.0658,0.1522,0.3967,0.3853,2.8616,0.4653
Norway,0.0593,0.2015,0.4003,0.3389,2.754,0.4486
United States,0.0514,0.1701,0.4045,0.374,2.7988,0.4466
Cape Verde,0.0347,0.14,0.4085,0.4168,2.537,0.4201
Qatar,0.0663,0.1319,0.302,0.4998,2.4711,0.3889
Curaçao,0.0674,0.1354,0.2408,0.5564,2.5599,0.375
Saudi Arabia,0.0491,0.1294,0.3215,0.5,2.3502,0.3686
Paraguay,0.0387,0.1373,0.311,0.513,2.2231,0.3329
DR Congo,0.0409,0.1224,0.3128,0.5239,2.207,0.2938
Egypt,0.0375,0.1048,0.2462,0.6115,1.9874,0.278
Iraq,0.015,0.0974,0.315,0.5726,1.9184,0.2462
Sweden,0.0262,0.066,0.2101,0.6977,1.7667,0.2185
Ghana,0.0197,0.0542,0.1937,0.7324,1.4295,0.187
Haiti,0.0178,0.0571,0.1646,0.7605,1.4001,0.172
